employee_id,employee_name,period,number_of_orders,revenue
1,"Nancy Davolio",2009-10,13,"$6,883.70"
8,"Laura Callahan",2009-10,7,"$5,248.00"
6,"Michael Suyama",2009-10,8,"$4,465.60"
4,"Margaret Peacock",2009-10,7,"$3,575.10"
2,"Andrew Fuller",2009-10,10,"$2,950.80"
3,"Janet Leverling",2009-10,5,"$1,762.00"
5,"Steven Buchanan",2009-10,2,"$1,420.00"
7,"Robert King",2009-10,5,"$1,330.80"
8,"Laura Callahan",2009-09,16,"$8,485.80"
1,"Nancy Davolio",2009-09,12,"$6,007.10"
4,"Margaret Peacock",2009-09,16,"$3,670.50"
3,"Janet Leverling",2009-09,9,"$3,557.20"
6,"Michael Suyama",2009-09,9,"$2,595.40"
2,"Andrew Fuller",2009-09,5,"$1,814.00"
7,"Robert King",2009-09,2,$479.40
4,"Margaret Peacock",2009-08,20,"$12,988.90"
9,"Anne Dodsworth",2009-08,8,"$4,955.30"
3,"Janet Leverling",2009-08,9,"$2,998.20"
6,"Michael Suyama",2009-08,4,"$2,587.90"
1,"Nancy Davolio",2009-08,3,"$2,018.60"
5,"Steven Buchanan",2009-08,8,"$1,741.20"
8,"Laura Callahan",2009-08,5,"$1,726.00"
2,"Andrew Fuller",2009-08,2,"$1,176.00"
